Data;Índice Geral de Preços do Mercado - IGP-M(200045);Var 1 Ano;Var Mesmo Mês;Acc Dez
06/2008;400.382;1.98;13.44;6.82
07/2008;407.446;1.76;15.12;8.71
08/2008;406.127;-0.32;13.63;8.35
09/2008;406.557;0.11;12.31;8.47
10/2008;410.524;0.98;12.23;9.53
11/2008;412.104;0.38;11.88;9.95
12/2008;411.575;-0.13;9.81;9.81
01/2009;409.782;-0.44;8.15;-0.44
02/2009;410.849;0.26;7.86;-0.18
03/2009;407.808;-0.74;6.27;-0.92
04/2009;407.181;-0.15;5.38;-1.07
05/2009;406.885;-0.07;3.64;-1.14
06/2009;406.486;-0.1;1.52;-1.24
07/2009;404.718;-0.43;-0.67;-1.67
08/2009;403.253;-0.36;-0.71;-2.02
09/2009;404.945;0.42;-0.4;-1.61
10/2009;405.129;0.05;-1.31;-1.57
11/2009;405.548;0.1;-1.59;-1.46
12/2009;404.499;-0.26;-1.72;-1.72
01/2010;407.049;0.63;-0.67;0.63
02/2010;411.843;1.18;0.24;1.82
03/2010;415.734;0.94;1.94;2.78
04/2010;418.917;0.77;2.88;3.56
05/2010;423.885;1.19;4.18;4.79
06/2010;427.489;0.85;5.17;5.68
07/2010;428.15;0.15;5.79;5.85
08/2010;431.445;0.77;6.99;6.66
09/2010;436.423;1.15;7.77;7.89
10/2010;440.829;1.01;8.81;8.98
11/2010;447.206;1.45;10.27;10.56
12/2010;450.301;0.69;11.32;11.32
01/2011;453.875;0.79;11.5;0.79
02/2011;458.397;1;11.3;1.8
03/2011;461.249;0.62;10.95;2.43
04/2011;463.311;0.45;10.6;2.89
05/2011;465.311;0.43;9.77;3.33
06/2011;464.463;-0.18;8.65;3.15
07/2011;463.927;-0.12;8.36;3.03
08/2011;465.968;0.44;8;3.48
09/2011;468.975;0.65;7.46;4.15
10/2011;471.466;0.53;6.95;4.7
11/2011;473.808;0.5;5.95;5.22
12/2011;473.252;-0.12;5.1;5.1
01/2012;474.429;0.25;4.53;0.25
02/2012;474.138;-0.06;3.43;0.19
03/2012;476.166;0.43;3.23;0.62
04/2012;480.229;0.85;3.65;1.47
05/2012;485.14;1.02;4.26;2.51
06/2012;488.342;0.66;5.14;3.19
07/2012;494.891;1.34;6.67;4.57
08/2012;501.957;1.43;7.72;6.07
09/2012;506.804;0.97;8.07;7.09
10/2012;506.926;0.02;7.52;7.12
11/2012;506.795;-0.03;6.96;7.09
12/2012;510.252;0.68;7.82;7.82
01/2013;511.977;0.34;7.91;0.34
02/2013;513.467;0.29;8.29;0.63
03/2013;514.526;0.21;8.06;0.84
04/2013;515.276;0.15;7.3;0.98
05/2013;515.299;0;6.22;0.99
06/2013;519.153;0.75;6.31;1.74
07/2013;520.508;0.26;5.18;2.01
08/2013;521.27;0.15;3.85;2.16
09/2013;529.085;1.5;4.4;3.69
10/2013;533.621;0.86;5.27;4.58
11/2013;535.168;0.29;5.6;4.88
12/2013;538.37;0.6;5.51;5.51
01/2014;540.959;0.48;5.66;0.48
02/2014;543.038;0.38;5.76;0.87
03/2014;552.087;1.67;7.3;2.55
04/2014;556.42;0.78;7.98;3.35
05/2014;555.679;-0.13;7.84;3.22
06/2014;551.554;-0.74;6.24;2.45
07/2014;548.202;-0.61;5.32;1.83
08/2014;546.745;-0.27;4.89;1.56
09/2014;547.839;0.2;3.54;1.76
10/2014;549.396;0.28;2.96;2.05
11/2014;554.769;0.98;3.66;3.05
12/2014;558.213;0.62;3.69;3.69
01/2015;562.482;0.76;3.98;0.76
02/2015;564.004;0.27;3.86;1.04
03/2015;569.536;0.98;3.16;2.03
04/2015;576.175;1.17;3.55;3.22
05/2015;578.516;0.41;4.11;3.64
